,India,Japan,Russia,Canada,US,World,China
2006,1.09,1.18,0.7,0.92,0.71,0.86,
2007,1.14,1.19,0.8,1.01,0.77,0.92,
2008,1.18,1.52,0.97,1.15,0.89,1.03,
2009,0.95,1.29,0.7,0.91,0.65,0.82,0.84
2010,1.15,1.52,0.8,1.1,0.77,0.93,0.96
2011,1.42,1.83,0.92,1.36,0.96,1.13,1.13
2012,1.34,1.84,0.95,1.38,0.99,1.14,1.19
2013,1.26,1.6,1,1.37,0.97,1.12,1.2
2014,1.24,1.54,0.89,1.3,0.94,1.09,1.21
2015,1.04,1.14,0.59,0.94,0.7,0.84,0.97
2016,0.98,1.11,0.56,0.86,0.63,0.77,0.87
2017,1.13,1.19,0.68,0.98,0.71,0.85,0.94
2018,1.17,1.36,0.69,1.1,0.81,0.96,1.09
2019,1.08,1.34,0.7,1.02,0.79,0.91,0.99
2020,1.09,1.28,0.64,0.88,0.68,0.82,0.93
2021,1.35,1.41,0.67,1.19,0.91,1.02,1.07
2022,1.35,1.3,0.75,1.46,1.17,1.22,1.24
